"","State","Date","Deaths","Confirmed","Recovered","Active","Population","Deaths.per.capita","Confirmed.per.capita","Active.per.capita","Name"
"151","Alaska",2020-05-27,10,411,0,401,731545,1.36696990615752e-05,0.000561824631430739,0.000548154932369164,"Alaska"
"152","Alaska",2020-05-15,10,388,0,378,731545,1.36696990615752e-05,0.000530384323589116,0.000516714624527541,"Alaska"
"153","Alaska",2020-03-19,0,9,0,9,731545,0,1.23027291554176e-05,1.23027291554176e-05,"Alaska"
"154","Alaska",2020-06-24,12,789,0,777,731545,1.64036388738902e-05,0.00107853925595828,0.00106213561708439,"Alaska"
"155","Alaska",2020-07-05,16,1134,0,1118,731545,2.18715184985203e-05,0.00155014387358262,0.0015282723550841,"Alaska"
"156","Alaska",2020-06-19,12,720,0,708,731545,1.64036388738902e-05,0.000984218332433412,0.000967814693559521,"Alaska"
"157","Alaska",2020-03-17,0,3,0,3,731545,0,4.10090971847255e-06,4.10090971847255e-06,"Alaska"
"158","Alaska",2020-07-16,17,1693,0,1676,731545,2.32384884046778e-05,0.00231428005112467,0.00229104156272,"Alaska"
"159","Alaska",2020-04-09,7,235,0,228,731545,9.56878934310261e-06,0.000321237927947016,0.000311669138603914,"Alaska"
"160","Alaska",2020-07-12,17,1479,0,1462,731545,2.32384884046778e-05,0.00202174849120697,0.00199851000280229,"Alaska"
"161","Alaska",2020-05-01,9,364,0,355,731545,1.23027291554176e-05,0.000497577045841336,0.000485274316685918,"Alaska"
"162","Alaska",2020-03-31,3,119,0,116,731545,4.10090971847255e-06,0.000162669418832744,0.000158568509114272,"Alaska"
"163","Alaska",2020-05-07,10,374,0,364,731545,1.36696990615752e-05,0.000511246744902911,0.000497577045841336,"Alaska"
"164","Alaska",2020-06-12,12,624,0,612,731545,1.64036388738902e-05,0.00085298922144229,0.0008365855825684,"Alaska"
"165","Alaska",2020-06-10,11,592,0,581,731545,1.50366689677327e-05,0.000809246184445249,0.000794209515477517,"Alaska"
"166","Alaska",2020-06-27,14,851,0,837,731545,1.91375786862052e-05,0.00116329139014005,0.00114415381145384,"Alaska"
"167","Alaska",2020-06-13,12,653,0,641,731545,1.64036388738902e-05,0.000892631348720858,0.000876227709846968,"Alaska"
"168","Alaska",2020-05-09,10,378,0,368,731545,1.36696990615752e-05,0.000516714624527541,0.000503044925465966,"Alaska"
"169","Alaska",2020-03-10,0,0,0,0,731545,0,0,0,"Alaska"
"170","Alaska",2020-07-03,15,1060,0,1045,731545,2.05045485923627e-05,0.00144898810052697,0.0014284835519346,"Alaska"
"171","Alaska",2020-05-13,10,383,0,373,731545,1.36696990615752e-05,0.000523549474058329,0.000509879774996753,"Alaska"
"172","Alaska",2020-07-02,14,1014,0,1000,731545,1.91375786862052e-05,0.00138610748484372,0.00136696990615752,"Alaska"
"173","Alaska",2020-06-08,10,562,0,552,731545,1.36696990615752e-05,0.000768237087260524,0.000754567388198949,"Alaska"
"174","Alaska",2020-04-13,8,277,0,269,731545,1.09357592492601e-05,0.000378650664005632,0.000367714904756372,"Alaska"
"175","Alaska",2020-06-09,11,572,0,561,731545,1.50366689677327e-05,0.000781906786322099,0.000766870117354366,"Alaska"
"176","Alaska",2020-05-10,10,379,0,369,731545,1.36696990615752e-05,0.000518081594433699,0.000504411895372123,"Alaska"
"177","Alaska",2020-06-20,12,741,0,729,731545,1.64036388738902e-05,0.00101292470046272,0.000996521061588829,"Alaska"
"178","Alaska",2020-03-27,1,58,0,57,731545,1.36696990615752e-06,7.92842545571359e-05,7.79172846509784e-05,"Alaska"
"179","Alaska",2020-05-08,10,377,0,367,731545,1.36696990615752e-05,0.000515347654621384,0.000501677955559808,"Alaska"
"180","Alaska",2020-04-01,3,132,0,129,731545,4.10090971847255e-06,0.000180440027612792,0.00017633911789432,"Alaska"
"181","Alaska",2020-04-28,9,351,0,342,731545,1.23027291554176e-05,0.000479806437061288,0.00046750370790587,"Alaska"
"182","Alaska",2020-04-08,7,226,0,219,731545,9.56878934310261e-06,0.000308935198791599,0.000299366409448496,"Alaska"
"183","Alaska",2020-03-28,2,85,0,83,731545,2.73393981231503e-06,0.000116192442023389,0.000113458502211074,"Alaska"
"184","Alaska",2020-06-16,12,675,0,663,731545,1.64036388738902e-05,0.000922704686656323,0.000906301047782433,"Alaska"
"185","Alaska",2020-05-20,10,401,0,391,731545,1.36696990615752e-05,0.000548154932369164,0.000534485233307589,"Alaska"
"186","Alaska",2020-06-05,10,523,0,513,731545,1.36696990615752e-05,0.000714925260920381,0.000701255561858806,"Alaska"
"187","Alaska",2020-03-25,1,41,0,40,731545,1.36696990615752e-06,5.60457661524582e-05,5.46787962463006e-05,"Alaska"
"188","Alaska",2020-06-02,10,486,0,476,731545,1.36696990615752e-05,0.000664347374392553,0.000650677675330978,"Alaska"
"189","Alaska",2020-05-23,10,407,0,397,731545,1.36696990615752e-05,0.000556356751806109,0.000542687052744534,"Alaska"
"190","Alaska",2020-03-26,1,56,0,55,731545,1.36696990615752e-06,7.65503147448209e-05,7.51833448386634e-05,"Alaska"
"191","Alaska",2020-06-23,12,760,0,748,731545,1.64036388738902e-05,0.00103889712867971,0.00102249348980582,"Alaska"
"192","Alaska",2020-04-18,9,314,0,305,731545,1.23027291554176e-05,0.00042922855053346,0.000416925821378042,"Alaska"
"193","Alaska",2020-05-11,10,379,0,369,731545,1.36696990615752e-05,0.000518081594433699,0.000504411895372123,"Alaska"
"194","Alaska",2020-04-11,8,257,0,249,731545,1.09357592492601e-05,0.000351311265882482,0.000340375506633221,"Alaska"
"195","Alaska",2020-05-18,10,388,0,378,731545,1.36696990615752e-05,0.000530384323589116,0.000516714624527541,"Alaska"
"196","Alaska",2020-07-09,17,1268,0,1251,731545,2.32384884046778e-05,0.00173331784100773,0.00171007935260305,"Alaska"
"197","Alaska",2020-06-28,14,880,0,866,731545,1.91375786862052e-05,0.00120293351741861,0.00118379593873241,"Alaska"
"198","Alaska",2020-04-30,9,355,0,346,731545,1.23027291554176e-05,0.000485274316685918,0.000472971587530501,"Alaska"
"199","Alaska",2020-05-30,10,433,0,423,731545,1.36696990615752e-05,0.000591897969366204,0.000578228270304629,"Alaska"
"200","Alaska",2020-05-22,10,403,0,393,731545,1.36696990615752e-05,0.000550888872181479,0.000537219173119904,"Alaska"
"201","Alaska",2020-04-29,9,355,0,346,731545,1.23027291554176e-05,0.000485274316685918,0.000472971587530501,"Alaska"
"202","Alaska",2020-06-14,12,660,0,648,731545,1.64036388738902e-05,0.000902200138063961,0.00088579649919007,"Alaska"
"203","Alaska",2020-06-29,14,901,0,887,731545,1.91375786862052e-05,0.00123163988544792,0.00121250230676172,"Alaska"
"204","Alaska",2020-05-28,10,424,0,414,731545,1.36696990615752e-05,0.000579595240210787,0.000565925541149212,"Alaska"
"205","Alaska",2020-07-11,17,1385,0,1368,731545,2.32384884046778e-05,0.00189325332002816,0.00187001483162348,"Alaska"
"206","Alaska",2020-04-14,9,285,0,276,731545,1.23027291554176e-05,0.000389586423254892,0.000377283694099474,"Alaska"
"207","Alaska",2020-03-16,0,1,0,1,731545,0,1.36696990615752e-06,1.36696990615752e-06,"Alaska"
"208","Alaska",2020-04-07,6,213,0,207,731545,8.2018194369451e-06,0.000291164590011551,0.000282962770574606,"Alaska"
